environmental;social;governance
emission;privacy;governance
energy_efficiency;customer_relationship;corporate_governance
environmental;labor_union;audit
greenhouse_gas;union;auditor
co2;government_body;oversight
waste;employee;audit_committee
renewable_energy;key_stakeholder;bylaw
pollution;record_management;supervisory_board
clean_energy;;ethic
fossil_fuel;compliance_issue;auditing
greenhouse_gas_emission;advocacy;independent_director
energy;claim_management;outside_auditor
biomass;engagement;
effluent;safety_security;ethical
environmentally;government_relation;committee
water_supply;customer_service;authority
wastewater_treatment;manage_care_organization;legal
renewable_energy_source;dialogue;management_board
electricity;;consultation
renewable;;remuneration
energy_consumption;safety_program;independent_auditor
wastewater;local_community;documentation
transportation_fuel;;independent_committee
energy_conservation;legislator;compliance
co2_emission;labor_law;regulator
electricity_generation;provider_community;business_practice
carbon_emission;health_benefit;external_auditor
carbon_dioxide;collective_bargaining;audit_process
power_generation;team_member;risk_management
water_reuse;anti-competitive;board_director
water;union_member;legal_requirement
sulfur;security_privacy;investigation
wind_energy;fraud;deliberation
energy_production;culture;directive
biofuel;governmental_agency;ministry
nuclear_power;patient_safety;governance_process
lignite;thought_leadership;review
environmentally_friendly;federal_authority;legal_framework
reduce_emission;workforce;decree
nox;fraud_abuse;fiduciary
transportation;piracy;regulation
energy_industry;benefit_program;law_regulation
gasification;cyber_security;legal_counsel
carbon;food_safety;compliance_program
recycling;quality_initiative;governance_structure
hydro;collective_bargaining_agreement;recommendation
pollutant;constituency;majority_shareholder
power_plant;credential;supervisory
alternative_energy;work_council;regulatory
hydrogen;regulatory_compliance;shareholder_agreement
hazardous_waste;retention_program;responsibility
climate_change;money_laundering;quality_system
alternative_fuel;employee_retention;comply
nuclear;security_issue;legal_department
heating;staff;policy
emit;collective_agreement;reporting_requirement
natural_gas;migrant;independent_board_member
methane;cybersecurity;stakeholder
hydroelectric;employee_turnover;examination
particulate;ransomware;code_conduct
energy_use;performance_management;policy_procedure
air_quality;director_officer;special_committee
energy_supply;patent_holder;regulatory_requirement
igcc;;fiduciary_duty
green_energy;business_issue;quality_assurance
energy_generation;employee_engagement;legal_advisor
;labor_negotiation;counsel
energy-from-waste;;advice
energy_source;protectionism;trustee
seawater;net_neutrality;rule_regulation
thermal_power_plant;align_incentive;delegation
carbon_capture;;internal_audit
landfill;ipr;govern_body
generate_electricity;trademark_rights;rule
produce_electricity;senior_executive;supervisor
waste_energy;smoking_cessation;legal_advice
coal;national_security;law
boiler;collaboration;regulatory_framework
reduce_co2_emission;seek_advice;outside_counsel
coal_ash;;audit_firm
cogeneration;morale;document
drinking_water;labor_group;propose_transaction
radioactive;discussion_union;member_board
clean_air;safety;supervision
waste_volume;professionalism;compliance_law
biomass_power_plant;;discussion_regulator
solar_wind;law_enforcement_agency;quality_management_system
fresh_water;executive;disclosure_requirement
waste_heat;;applicable_law
ecological;consultant;tax_advisor
oxygen;;federal_law
mining;cultural;regulatory_body
non-co2;employment_contract;council
evacuation;prospective_client;expert_opinion
sewage;worker;scrutiny
utility;recruiting_training;compliance_officer
transmission_distribution;identity_theft;public_hearing
backup_power;attorney_general;managerial
petroleum;lobbying_effort;management_practice
coal-based;union_negotiation;regulatory_regime
electric;media_coverage;board_member
thermal_plant;new_source_review;taxation
energy_management;best_practice;lawyer
hydropower;worker_council;executive_officer
waste_water;business_discussion;environmental_impact_assessment
potable_water;doj;article_association
power_sector;employee_satisfaction;executive_committee
water_treatment;fraudulent;
soil;social_worker;government
co2_footprint;compliance_activity;minister_finance
clean_coal;;managing_board
water_quality;labor_relation;compensation_committee
desalination_plant;manage_care_partner;proposal
transmission_line;disease_management;legal_adviser
bioga;work_group;ifrs_rule
emission_reduction;social;anti-trust
geothermal;gdpr;reviewer
thermoelectric;competition_law;related_party_transaction
reduce_carbon_footprint;negotiation_union;review_process
hydro_nuclear;;governance_issue
waste_management;policymaker;due_diligence
groundwater;consumer_organization;disagreement
hazardous;;government_authority
power_industry;interoperability;fiduciary_responsibility
grid;opinion_leader;shareholder_structure
energy_infrastructure;ex-employee;form_special_committee
energy_storage;mediation;capital_policy
nitrogen;benefit_package;executive_board
water_infrastructure;field_level;arm_length
landfilling;affordable_care_act;violation
gas-fired;interaction;risk_management_system
diesel_technology;claim_review;compliance_requirement
solar_power;security_breach;secretary
fuel_cell;association;risk_management_process
solar_energy;labor_relationship;ote
power_company;non-solicitation;opap
beneficiation;;audits
fertilizer;wellness_program;management_control
photovoltaic;administrative_burden;government_official
h2s;state_regulation;risk_control
water_management;dialog;governance_rule
power_production;labor_contract;supervise
wind_solar;custom_authority;investment_company
low-carbon;teamwork;legal_structure
water_pump;intervener;reporting
coal_natural_gas;lawsuit_against;arbitration_panel
heavy_fuel_oil;security_practice;principle
coal-fired_power;;due_diligence_process
energy_component;law_firm;by-law
coal-fired;gainful_employment;rems
pet_coke;third-party_administrator;senior_management
fuel_mix;industry_association;parliamentary
energy_security;patient_compliance;rule_law
shale_gas;senior_leader;control_environment
electricity_consumption;obesity;nominating_committee
power_grid;collective_labor_agreement;anti-money
activate_carbon;personnel;determination
nuclear_fuel;safety_concern;formal_process
energy_chemical;healthcare_program;structure
combined_cycle;go-to-market_initiative;executive_management
;bargaining;control_procedure
wind_power;executive_compensation;nomination_committee
;regulatory_landscape;minority_shareholder
water_usage;policy_issue;conversation_regulator
energy_initiative;contract_consolidation;compliance_group
so2;healthcare_professional;accountant
metal;health_reform;tax_department
coal_plant;case_management;legally
waste_disposal;allege;voting_rights
carbon_footprint;background_check;guideline
coal_mine;whistleblower;discuss_auditor
gas;environmentalist;administrative
power_supply;contract_management;governance_standard
clean_fuel;punitive_damages;royal_decree
power_capacity;cyber_risk;independent_advisor
cyanide;;potential_conflict_interest
power_facility;patent_issue;government_regulation
water_system;health_advocacy;minister
lithium-ion_battery;;regulatory_authority
purification;health_issue;shareholder_assembly
electrical_power;bonus_structure;party_involve
sox_nox;change_management;accountability
nox_sox;safety_issue;state_regulator
coal_gas;management_issue;accounting_firm
transmission;compliance_area;credit_review
electric_generation;hiring_training;board_director_meeting
electricity_cost;politician;formality
carbon_fiber;consent_decree;group_structure
contaminate;social_security;consultation_document
oil_industry;c_level;minister_communication
brine;;alleged
fuel_oil;co-worker;administratively
wood;disgruntled;prudential
mining_activity;information_sharing;regulatory_agency
energy_saving;ongoing_investigation;examiner
fuel_source;union_representative;wrongdoing
household_waste;lawmaker;
ultracapacitor;class_action;transparency
power_source;ongoing_litigation;accounting_practice
mercury_control;complaint;proceedings
petrochemical;training;shareholding_structure
solid_waste;legislative_initiative;disclosure_policy
rail;government_investigation;minister_economy
forest;3g_icr;bank_hold_company
energy_transportation;board_membership;finance_department
cement_kiln;rem;gross_negligence
biodiesel;;congressional
chemical_processing;wage_agreement;succession_plan
sulfuric;healthcare_plan;board_level
pulverize;state_official;conflict_committee
cooling;intimidation;fiduciary_obligation
diesel_engine;regulatory_scrutiny;legal_entity
particulate_matter;staff_member;board_composition
bentonite;congressman;allegation
railway;unionization;compliance_department
contamination;health_coaching;antitrust_law
gas_consumption;legal_dispute;comp_committee
particle;risk/benefit;gaming_commission
chemical_plant;professional_society;consent_order
green;claim_area;finma
radioactive_material;;underwriting_process
waste_stream;litigation;peer_review
gas_pipeline;advisory_board;integrity
bio_fuel;health_authority;officer
water_availability;lobbyist;board
energy_product;;law_law
environmental_regulation;medical_director;adhering
precipitator;datum_collection;indemnity
clean_water;anticompetitive;search_committee
carbon_cost;patient_comfort;legality
power_generator;lawsuit;special_independent_committee
methanol;;ownership_requirement
road_building;litigation_issue;attorney
metering;charitable;ministerial
steam_turbine;sale_excellence;subcommittee
heat;roll_call;incentive_system
environmental_protection;hospital_ceo;corporate_social_responsibility
scrubber;injury;merger_transaction
packaging_material;education_program;legislative
fossil-based;patent_litigation;local_authority
residue;employee_agreement;fiduciary_standard
recycle;arbitration_tribunal;audit_team
energy-saving;respiratory_depression;general_shareholder_meeting
security_supply;employee_training;technicality
composite_material;span_layer;safeguard
water_use;patient_satisfaction;poison_pill
power;store_manager_district_manager;functioning
smart_grid;tax_evasion;
thermal;cross-functional;regime
acid;contentious;information_process
oil_sand;finding;comply_regulation
hot_water;kol;sarbanes-oxley
coal_generation;management_incentive;claimant
disinfection_byproduct;regulatory_front;management_structure
gas_transmission;class_action_lawsuit;exam
fuel_consumption;intervenor;director
farming;ongoing_dialogue;independence
energy_waste;scientific_advisory_board;accord_to_law
methane_gas;thought_leader;board_seat
water_consumption;visa_issue;bod
nuclear_energy;elect_official;arbitration_process
oil_and_gas_industry;pay_increase;abide
auxiliary;passporting;control_issue
power_station;inspector;procedure
incineration;key_opinion_leader;evaluation
district_heating;prosecutor;ownership_structure
oil_gas;educational_effort;adhere
aquifer;risk_management_plan;commissioner
energy_side;technology_activity;shareholder
plant;patent_office;obligation
gas-based;pre-authorization;systemically_important
electricity_supply;manger;ad_hoc_committee
steam_generator;insurance_commissioner;year-end_audit
electricity_usage;royalty_audits;external_advisor
water_handling;transformation_process;financial_adviser
irrigation;class-action_lawsuit;legal_action
diesel;product_safety;board_committee
coal_technology;strategy_implementation;ongoing_discussion
battery;sexual;consultation_process
energy_policy;health_care_reform;affair
transmission_system;recruitment_issue;management_committee
lng;post-marketing_commitment;business_judgment
fuel_segment;senator;lobbying
nitrogen_oxide;territory_management;internal_investigation
smelting;criminal_investigation;credit_process
contaminant;retention_incentive;domination_agreement
non-hazardous;senior_leadership;protocol
heating_system;occupational_health;consortium
electric_power;ebola;management_point_view
cogen;c-level;collaboration_agreement
oil_field;account_exec;unsolicited_proposal
lime;competition_issue;involvement
nuclear_waste;health_care_provider;mandate
energy_bill;arbitration_case;employee_representative
wastewater_treatment_plant;compliance-related;sale_practice
coal_resource;periodic_review;review_board
leachate;datum_gathering;ceo_level
phosphorus;inter-operability;executive_branch
diluent;agcom;safety_soundness
nuclear_plant;;set-up
electricity_production;lane_departure;alignment
carbon_tax;rhetoric;practice
slag;glp1;self-regulatory
handling;self-referral;selection_process
health_safety;regulatory_interaction;
hydro_power;accountable_care;administrator
energy_cost;board_change;compliance_regulatory
oilsand;wrongful;agency
diesel_fuel;workshop;independent_director_board
power_cost;documentation_issue;bioshield
